"Income statement for municipalities, SEK thousands by region, Income statement and year"

"region","Income statement","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"2080 Falun","Total costs for operations",-1853949,-1949152,-2001681,-2116263,-2254669,-2249530,-2379378,-2399270,-2531703,-2633331,-2754487,-2899601,-2899270,-3074990,-3128942,-3208824,-3372807,-3451080,-3650842,-3819330,-3912949,-4037739,-4142400,-4271120,-4487834
"2080 Falun","Total net current costs",-1545015,-1589751,-1621645,-1730385,-1878416,-1958570,-2041212,-2078016,-2191368,-2326791,-2436003,-2511310,-2534452,-2635190,-2712384,-2809419,-2975968,-2982659,-3111923,-3249967,-3361723,-3482314,-3567475,-3725384,-3978538
"2080 Falun","Tax revenues",1284381,1353777,1447219,1555821,1619116,1678351,1778190,1845446,1958229,2044099,2140161,2168719,2175423,2257236,2323977,2420596,2491495,2604424,2736280,2837936,2825954,2914195,2913414,3071194,3260415
"2080 Falun","General grants and equalisation grants",223673,224312,225849,201712,221830,236549,216726,264485,273005,296820,308506,331134,428488,422790,419968,445943,489214,474064,487383,547887,563148,615494,786809,808728,801798
"2080 Falun","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47375,132748,154538,83675
"2080 Falun","Financial income",31381,28612,30917,30725,30787,42837,32431,33140,50328,31777,46199,55517,49930,46909,43814,48078,33014,30450,41656,25745,31559,26400,22890,19697,26878
"2080 Falun","Financial costs",-65887,-58857,-56004,-46688,-42665,-37250,-30492,-24406,-27197,-26899,-39513,-34370,-31166,-40597,-32392,-47029,-26671,-24843,-37836,-26634,-17760,-20397,-16631,-13788,-20911
"2080 Falun","Net profit/loss after financial items",-72989,-44578,23088,7065,-53888,-42967,-46432,38995,61252,16824,17625,4742,86053,51148,42983,58169,11084,101436,115560,134967,41178,53378,139007,160447,89642
"2080 Falun","Net profit/loss for the year",-72989,-44578,23088,7065,-53888,-42783,-46432,38995,61252,16824,17625,4742,86053,51148,42983,58169,11084,101436,115560,134967,41178,53378,139007,160447,89642
"2081 Borlänge","Total income for operations",369828,396966,381467,401720,419494,441074,439930,667991,689338,531972,539523,529599,545093,556600,545730,542800,556400,662700,1011200,781900,782183,740111,764961,784725,806825
"2081 Borlänge","Total costs for operations",-1611380,-1705901,-1737823,-1822479,-1919921,-2005540,-2066784,-2354331,-2455299,-2386602,-2529960,-2582804,-2722638,-2862700,-2905650,-3025600,-3174500,-3402100,-3706835,-3845480,-3944260,-4013427,-4074471,-4135140,-4230889
"2081 Borlänge","Total net current costs",-1343824,-1410515,-1460682,-1526179,-1600029,-1661496,-1727013,-1792136,-1870867,-1980502,-2122180,-2126136,-2252281,-2385700,-2442120,-2564900,-2717697,-2857700,-2835435,-3168269,-3269901,-3387769,-3455082,-3494476,-3573983
"2081 Borlänge","Tax revenues",1122310,1164608,1248234,1331711,1375205,1450368,1493052,1545663,1636207,1701214,1775719,1796153,1824209,1883794,1926182,1994313,2049071,2139573,2239972,2349947,2339505,2410509,2390677,2507688,2627608
"2081 Borlänge","General grants and equalisation grants",211805,210359,197755,188200,211302,213296,205203,241060,258275,301316,336111,376033,480528,504240,511681,583714,633636,694405,770340,816180,872529,926666,1094175,1121196,1131199
"2081 Borlänge","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-50594,29770,134408,184824
"2081 Borlänge","Financial income",30499,37923,45362,6441,21279,43430,38026,36197,37926,27501,32251,17147,11269,16400,21400,40300,76890,31800,49100,41761,72863,111644,49264,131333,63119
"2081 Borlänge","Financial costs",-15098,-9952,-11439,-7302,-57277,-11237,-9814,-9900,-10921,-13031,-16102,-11042,-8588,-8583,-9600,-18300,-3422,-2700,-5242,-4685,-6943,-9698,-30534,-5689,-58839
"2081 Borlänge","Net profit/loss after financial items",4848,-9368,17690,-7627,-49938,33767,-1146,20057,49299,35365,4167,49450,52484,10151,7543,35127,38478,5378,218735,34934,8053,51352,48500,260052,189104
"2081 Borlänge","Net profit/loss for the year",22269,-9368,17690,-7627,-49938,13441,-1146,20057,49299,35365,4167,49450,52484,10151,7543,35127,38478,5378,218735,34934,8053,51352,48500,260052,189104
"2082 Säter","Total income for operations",72269,73990,76216,73572,82562,86156,84754,83255,88664,90889,95902,94469,97747,119632,134302,138109,128821,141857,183550,162013,138880,136065,150176,150031,150679
"2082 Säter","Total costs for operations",-375146,-402611,-416485,-435866,-445493,-457581,-475669,-489331,-506150,-532999,-554892,-563372,-580164,-602335,-635162,-649024,-668083,-693901,-745300,-767995,-756587,-766227,-795159,-827236,-852905
"2082 Säter","Total net current costs",-325353,-350160,-362647,-385373,-387785,-395759,-415716,-430144,-441643,-466573,-484687,-485685,-499697,-499595,-518146,-529173,-559144,-573834,-585336,-630375,-643667,-658748,-675545,-709962,-736166
"2082 Säter","Tax revenues",233882,249495,267524,287753,308180,324165,330201,342692,360378,374622,394080,401698,403854,421730,433497,448842,459606,478717,499391,523925,529652,544593,538934,557778,581040
"2082 Säter","General grants and equalisation grants",83298,83038,83357,86894,89603,85432,87041,86360,88158,98438,95925,95925,105799,88079,84746,85610,95690,93020,105021,109425,112165,117190,147498,169536,180397
"2082 Säter","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3035,10887,17352,25271
"2082 Säter","Financial income",5054,8791,11489,2120,2050,7485,7519,7745,15361,5566,7179,4976,6000,5300,4728,4820,15548,4424,13203,5474,7332,8830,4877,2565,3344
"2082 Säter","Financial costs",-3047,-2590,-3528,-4744,-10395,-3790,-2670,-2253,-1637,-3595,-2682,-752,-1982,-1228,-835,-1130,-610,-252,-117,-99,-107,-703,-1165,-2898,-16294
"2082 Säter","Net profit/loss after financial items",-6293,-11804,-4138,-13447,1525,17412,6264,4326,20537,8327,9686,15979,13935,14286,3990,8969,11090,2075,32162,8350,5375,11162,14599,17019,12321
"2082 Säter","Net profit/loss for the year",-6293,-25924,-9334,-12712,1525,17412,6264,4326,20537,7471,9686,15979,13935,14286,3990,8969,11090,2075,32162,8350,5375,11162,14599,17019,12321
"2083 Hedemora","Total income for operations",182986,188761,153122,166297,170697,171915,135581,134033,136338,131108,124580,125546,133966,138133,168510,164564,180235,196105,253265,237934,235507,212369,215107,199203,198466
"2083 Hedemora","Total costs for operations",-651240,-673837,-673664,-712262,-687148,-759365,-755557,-767697,-781767,-802328,-822043,-848838,-878235,-905134,-941769,-938283,-1018722,-1252257,-1181244,-1166122,-1168718,-1171438,-1167987,-1171511,-1203691
"2083 Hedemora","Total net current costs",-507016,-519919,-556188,-583575,-552552,-623977,-656379,-671091,-689697,-719253,-748133,-748422,-771080,-782381,-788725,-795760,-858260,-1072369,-944780,-944847,-951284,-981187,-969245,-990702,-1022002
"2083 Hedemora","Tax revenues",344952,366917,388193,412837,426605,448791,452564,468151,495763,509573,543830,548878,551984,572403,582860,605353,618812,632005,657348,686207,684732,703113,693463,723422,759224
"2083 Hedemora","General grants and equalisation grants",134464,130548,133576,130306,144995,160024,187726,190879,197092,204286,198022,203368,216153,200704,196033,199531,219896,232897,286343,255980,259351,263996,308087,332109,326994
"2083 Hedemora","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-14078,32305,64829,64216
"2083 Hedemora","Financial income",4265,4240,4784,11794,3364,4675,6936,3416,5968,5748,6651,2898,3016,9122,10179,9975,8675,5620,4058,3501,7914,10038,3267,2795,10205
"2083 Hedemora","Financial costs",-564,-415,-471,-336,-223,-182,-216,-154,-393,-348,-105,-369,-135,-1052,-252,107,-91,-97,-741,-141,-449,-475,-421,-336,-481
"2083 Hedemora","Net profit/loss after financial items",-24285,-19040,-30688,-29300,21695,-11084,-9906,-8430,8527,-152,265,6353,-62,-1204,95,19206,-10968,-201944,2228,700,264,-4515,35151,67288,73940
"2083 Hedemora","Net profit/loss for the year",-24285,-19040,-30688,-29300,21695,-11084,-9906,-8430,8527,-152,265,6353,-62,8796,95,19206,-10968,-201944,2228,700,264,-4515,35151,67288,73940
"2084 Avesta","Total income for operations",172169,199569,204008,210687,228511,245937,262112,245207,267380,260468,265171,274280,278317,234259,263545,265460,259507,316401,419000,462107,414224,365204,356763,357550,344527
"2084 Avesta","Total costs for operations",-829593,-903920,-909271,-965050,-1000647,-1043046,-1059445,-1061810,-1088518,-1117922,-1181837,-1201268,-1230531,-1183671,-1263057,-1263682,-1301884,-1401925,-1608036,-1707256,-1712556,-1702811,-1684473,-1727706,-1806232
"2084 Avesta","Total net current costs",-695844,-739492,-709275,-783933,-802011,-830094,-833219,-855725,-861213,-908846,-969044,-951352,-981032,-971676,-1021490,-1027640,-1066494,-1107872,-1213821,-1271694,-1329521,-1371597,-1365025,-1408562,-1502582
"2084 Avesta","Tax revenues",533036,563213,603339,648048,667742,686058,710393,741722,779493,801918,835772,835417,833652,850992,881145,903837,923161,949660,990476,1029934,1027129,1061458,1052294,1104458,1150726
"2084 Avesta","General grants and equalisation grants",128918,124793,118837,124388,133809,141919,132853,124972,120550,132884,137766,141061,174157,160236,150403,160951,172232,205299,294683,291407,318079,341095,402105,416030,420195
"2084 Avesta","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30956,89374,111926,68339
"2084 Avesta","Financial income",55942,57072,57718,55971,55640,57423,40729,33964,28942,33352,40184,32192,25406,34525,36236,32781,33008,30034,27839,25933,28683,23559,24545,24231,25624
"2084 Avesta","Financial costs",-54626,-54719,-55375,-54026,-54576,-50005,-44441,-36761,-33030,-39836,-47470,-30495,-25622,-40101,-33031,-40756,-29698,-28507,-25329,-25004,-21722,-26273,-25694,-22799,-24551
"2084 Avesta","Net profit/loss after financial items",-33730,-50910,13660,-10447,-780,4244,5241,7280,33968,18314,-4408,24108,25308,33976,13263,29173,32209,48614,73848,50576,22648,28242,88225,113358,69412
"2084 Avesta","Net profit/loss for the year",-33730,-50910,13660,-10447,-780,4244,5241,7280,33968,18314,-4408,24108,25308,33276,13263,29173,32209,48614,73848,50576,22648,28242,88225,113358,69412
"2085 Ludvika","Total income for operations",213384,214849,223398,232762,268191,276371,295089,281119,306285,305550,327727,344935,371240,383141,392840,429372,367703,445394,508747,523734,520928,496167,451528,333632,351568
"2085 Ludvika","Total costs for operations",-995577,-1063837,-1081709,-1111866,-1170555,-1236827,-1254475,-1260871,-1337104,-1370049,-1436780,-1484940,-1544236,-1600544,-1595318,-1704869,-1740910,-1801101,-2020562,-2079643,-2111731,-2088509,-2159366,-2119857,-2178334
"2085 Ludvika","Total net current costs",-839105,-917460,-929800,-948490,-976397,-1035712,-1038985,-1060424,-1113854,-1149749,-1193344,-1203911,-1239858,-1286559,-1270279,-1343736,-1441388,-1422768,-1578096,-1623777,-1662831,-1659838,-1751956,-1819856,-1874241
"2085 Ludvika","Tax revenues",644652,679257,729156,765638,783900,807668,824709,851941,896982,917176,950354,957879,964676,1008120,1029949,1067719,1096627,1140459,1186749,1225825,1223267,1252737,1235600,1275681,1326723
"2085 Ludvika","General grants and equalisation grants",189486,183922,178789,182732,199639,205632,211399,212684,215930,235529,249958,260370,292258,277338,269897,276003,269187,300557,399219,406697,416001,435554,534405,557821,572704
"2085 Ludvika","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28453,18049,13646,25186
"2085 Ludvika","Financial income",21965,34810,16509,16330,15626,12291,13717,21264,16838,16305,13898,19197,20283,21897,21750,20927,26960,27713,29549,29511,54109,212188,22626,25762,40648
"2085 Ludvika","Financial costs",-13857,-24524,-14817,-13311,-14203,-12394,-10233,-8392,-7564,-7514,-9997,-8753,-8290,-16281,-12002,-17701,-12753,-12907,-11026,-10100,-7887,-10718,-3983,-3838,-5463
"2085 Ludvika","Net profit/loss after financial items",2615,-45176,-21811,715,6261,-24899,-1617,15009,6254,9308,7889,20668,26915,4515,39315,3212,-61367,33054,26395,28156,22659,229923,36692,35570,60371
"2085 Ludvika","Net profit/loss for the year",2615,-45176,-21811,-21285,861,-28841,-6514,10955,2302,-597,1530,16169,22915,10890,39315,3212,-61367,28127,26395,28156,22659,223055,36692,-98175,60371
"2101 Ockelbo","Total income for operations",53078,54419,52533,46895,44399,43881,51214,57515,53542,57074,48599,62700,49637,46147,53050,51956,57205,78724,103030,84221,80808,73700,84706,75945,72277
"2101 Ockelbo","Total costs for operations",-228558,-234635,-244073,-243068,-256042,-261605,-266004,-272890,-291752,-305694,-307022,-320123,-328888,-324650,-336100,-346491,-355524,-390545,-423755,-420576,-425803,-434059,-456883,-458977,-471691
"2101 Ockelbo","Total net current costs",-186508,-190095,-202541,-219175,-223570,-228258,-225459,-230909,-249443,-261242,-270796,-263940,-287642,-287088,-291287,-302624,-306561,-320691,-332561,-347556,-357013,-372427,-384434,-395777,-412728
"2101 Ockelbo","Tax revenues",128492,135828,148773,156676,161872,168398,171477,179234,189334,199594,209040,218426,220569,223370,228521,234698,236418,243881,249981,259090,263221,268669,266009,276832,289911
"2101 Ockelbo","General grants and equalisation grants",58076,51810,50878,55216,58815,61272,59803,66534,64841,66075,63895,69617,76184,78395,78474,79469,82190,82677,93295,95632,103475,107891,126535,137160,146159
"2101 Ockelbo","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4133,8110,18215,23342
"2101 Ockelbo","Financial income",3392,1508,107,131,940,633,517,446,508,606,977,2543,1285,2087,2596,2030,2021,1515,1583,1292,2251,1783,1600,5826,2582
"2101 Ockelbo","Financial costs",-3754,-3194,-4155,-4651,-3990,-2945,-1999,-1845,-1838,-3532,-4180,-5496,-6141,-6135,-5084,-4624,-4124,-3028,-2718,-1433,-2867,-2175,-1741,-1385,-2079
"2101 Ockelbo","Net profit/loss after financial items",-413,-4373,-7122,-11803,-5979,-952,4292,13404,3345,1398,-1232,20860,4114,10629,13220,8949,9944,4354,9580,7025,9067,3741,7969,22656,23845
"2101 Ockelbo","Net profit/loss for the year",-22122,-79,-7122,-24872,-5979,-952,4292,13404,3345,1398,-1232,20860,4114,10629,12894,8949,9944,4354,9580,7025,9067,3741,7969,22656,23845
"2104 Hofors","Total income for operations",96156,86778,88978,93432,99702,106146,119468,122326,129175,129407,131694,102961,126943,129377,137028,145000,132602,143940,195269,158730,147350,141273,156014,168654,146135
"2104 Hofors","Total costs for operations",-421953,-422316,-430347,-443693,-459493,-483220,-497081,-508129,-534758,-551266,-575175,-560190,-609486,-620444,-633403,-648200,-659813,-704150,-826462,-813596,-778576,-769687,-773316,-816673,-795084
"2104 Hofors","Total net current costs",-340975,-351758,-359293,-371343,-379552,-394563,-397430,-411394,-424936,-444587,-468964,-465622,-490173,-500327,-506975,-514900,-539509,-573210,-644256,-669811,-644990,-644954,-634627,-664402,-668399
"2104 Hofors","Tax revenues",267778,277775,300804,312391,319812,321382,323776,335871,351811,363514,382124,394710,397121,385695,396480,410127,406598,417743,437437,452405,455661,469040,471810,482474,500808
"2104 Hofors","General grants and equalisation grants",59819,56892,51808,58647,62646,86836,75853,73628,73348,75587,72796,75624,85734,102868,101898,112173,122661,128414,145525,157254,160745,154943,168897,176956,176877
"2104 Hofors","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-20971,6080,-4972,9286
"2104 Hofors","Financial income",8841,8553,9177,9502,8637,8388,7443,5440,8849,8798,12120,11468,9169,9562,26400,10500,13182,10590,10100,9891,9530,17965,9459,9295,14428
"2104 Hofors","Financial costs",-1291,-2347,-2321,-5863,-4260,-3072,-1221,-424,-909,-1375,-1783,-487,-2724,-2984,-9500,-2300,-1298,-844,-2220,-237,-533,-162,-373,-1166,-1289
"2104 Hofors","Net profit/loss after financial items",-6104,-11347,-299,3334,7279,18970,8421,2878,7949,1650,-4062,15693,-873,-5186,8303,15600,1634,-17307,-53414,-50498,-19587,-3168,15166,3157,22425
"2104 Hofors","Net profit/loss for the year",2609,31421,-70299,-1066,7279,18970,8421,2878,7949,1650,-4062,15693,-873,-5186,8303,15600,1634,-17307,-53414,-52198,-27700,300,15166,3157,22425
"2121 Ovanåker","Total income for operations",85213,83622,79007,82538,91090,91306,86513,93729,97158,102595,105999,101047,95868,89470,104396,102304,109490,136819,197624,195004,194050,186015,166252,143077,151041
"2121 Ovanåker","Total costs for operations",-431003,-442865,-454947,-478224,-497028,-514901,-518046,-541928,-539297,-572350,-598603,-611175,-597910,-599057,-628999,-628208,-654252,-698236,-769290,-825410,-859979,-831620,-826815,-853102,-861811
"2121 Ovanåker","Total net current costs",-371256,-386473,-400778,-421489,-439093,-453805,-460782,-470083,-475180,-503462,-538504,-528811,-525542,-529310,-544065,-546665,-567845,-584130,-597741,-656724,-694837,-677108,-698214,-751495,-755251
"2121 Ovanåker","Tax revenues",259618,276017,294523,310983,320497,327890,332136,347398,367603,379932,396917,400565,401807,407363,409879,418724,422557,435008,451087,468355,476290,495734,490641,513423,537097
"2121 Ovanåker","General grants and equalisation grants",116306,110614,108337,114051,119831,127087,127890,123161,121231,118767,124216,117339,131439,121901,128787,135354,151436,163196,194543,197675,196566,204252,232011,242335,259407
